YEAR_,STATE,TOTALACRES
1993.0,Texas,27351.699999999997
1993.0,Utah,19100.099999999915
1993.0,Virginia,540.9000000000003
1993.0,Washington,21190.299999999814
1993.0,West Virginia,93.69999999999997
1993.0,Wisconsin,93.09999999999985
1993.0,Wyoming,4625.5000000000055
1994.0,Alabama,1467.2999999999997
1994.0,Alaska,381110.9999999994
1994.0,Arizona,163769.80000000828
1994.0,Arkansas,3285.5999999999967
1994.0,California,471944.09999999305
1994.0,Colorado,53264.099999999235
1994.0,Delaware,96.0
1994.0,District of Columbia,5.1000000000000005
1994.0,Florida,70345.90000000001
1994.0,Georgia,1500.4999999999995
1994.0,Hawaii,78.6
1994.0,Idaho,788036.999999979
1994.0,Illinois,384.2
1994.0,Indiana,577.9000000000009
1994.0,Iowa,107.8
1994.0,Kansas,6340.100000000001
1994.0,Kentucky,4660.599999999999
1994.0,Louisiana,2526.799999999999
1994.0,Maine,106.3
1994.0,Maryland,877.0000000000001
1994.0,Massachusetts,1.9000000000000001
1994.0,Michigan,1545.599999999999
1994.0,Minnesota,17168.699999999993
1994.0,Mississippi,8970.100000000002
1994.0,Missouri,3928.699999999999
1994.0,Montana,392292.7000000009
1994.0,Nebraska,2923.6
1994.0,Nevada,193303.00000000096
1994.0,New Hampshire,3.0
1994.0,New Jersey,9.299999999999999
1994.0,New Mexico,208672.90000000197
1994.0,New York,148.0
1994.0,North Carolina,27569.799999999974
1994.0,North Dakota,11026.300000000003
1994.0,Ohio,119.69999999999999
1994.0,Oklahoma,27335.199999999993
1994.0,Oregon,308159.90000000206
1994.0,Pennsylvania,65.39999999999999
1994.0,Puerto Rico,1000.0
1994.0,Rhode Island,25.0
1994.0,South Carolina,2686.2999999999965
1994.0,South Dakota,15886.700000000106
1994.0,Tennessee,3556.699999999999
1994.0,Texas,47123.39999999992
1994.0,Utah,146890.90000000043
1994.0,Vermont,22.3
1994.0,Virginia,1206.6000000000001
1994.0,Washington,438974.8999999996
1994.0,West Virginia,109.40000000000002
1994.0,Wisconsin,1331.4999999999911
1994.0,Wyoming,54971.69999999988
1995.0,Alabama,4997.600000000001
1995.0,Alaska,40003.59999999999
1995.0,Arizona,275382.400000006
1995.0,Arkansas,5689.200000000001
1995.0,California,166864.20000000103
1995.0,Colorado,14922.400000000118
1995.0,Delaware,2014.3999999999999
1995.0,District of Columbia,0.5
1995.0,Florida,50220.499999999985
1995.0,Georgia,463.90000000000003
1995.0,Hawaii,673.5000000000001
1995.0,Idaho,275108.70000000036
1995.0,Illinois,993.1999999999999
1995.0,Indiana,1246.6999999999998
1995.0,Iowa,58.300000000000004
1995.0,Kansas,337.9000000000001
1995.0,Kentucky,5899.600000000003
1995.0,Louisiana,7176.200000000002
1995.0,Maine,14.999999999999996
1995.0,Maryland,2074.3999999999996
1995.0,Massachusetts,10.9
1995.0,Michigan,2023.4999999999984
1995.0,Minnesota,24969.89999999997
1995.0,Mississippi,6002.2
1995.0,Missouri,13666.500000000004
1995.0,Montana,28487.89999999995
1995.0,Nebraska,17006.799999999996
1995.0,Nevada,120207.20000000045
1995.0,New Hampshire,61.5
1995.0,New Jersey,171.49999999999997
1995.0,New Mexico,113265.60000000204
1995.0,New York,443.00000000000017
1995.0,North Carolina,2657.5999999999985
1995.0,North Dakota,2067.5999999999995
1995.0,Ohio,282.29999999999995
1995.0,Oklahoma,19295.99999999994
1995.0,Oregon,66573.4
1995.0,Pennsylvania,51.00000000000001
1995.0,South Carolina,1023.3000000000004
1995.0,South Dakota,12123.70000000007
1995.0,Tennessee,2012.199999999999
1995.0,Texas,29312.79999999995
1995.0,Utah,178239.60000000036
1995.0,Vermont,1.2
1995.0,Virginia,6989.300000000005
1995.0,Washington,7357.7000000000035
1995.0,West Virginia,178.1
1995.0,Wisconsin,176.99999999999977
1995.0,Wyoming,6411.200000000007
1996.0,Alabama,4275.200000000001
1996.0,Alaska,909820.3999999998
1996.0,Arizona,201693.60000001002
1996.0,Arkansas,5429.8
1996.0,California,955890.7999999765
1996.0,Colorado,99250.30000000121
1996.0,District of Columbia,0.0
1996.0,Florida,58447.59999999996
1996.0,Georgia,697.6000000000001
1996.0,Hawaii,310.30000000000007
1996.0,Idaho,931693.1000000025
1996.0,Illinois,149.8
1996.0,Indiana,624.8000000000011
1996.0,Iowa,1028.4
1996.0,Kansas,8185.4000000000015
1996.0,Kentucky,1162.8000000000002
1996.0,Louisiana,7302.200000000003
1996.0,Maine,0.7
1996.0,Maryland,312.1
