Year,Name,GACC,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,Lat,Long
2017,West Mims,SA,GA,Georgia,4/6/2017,6/29/2017,"152,515",L,"$45,500,000",32.3442433,-85.3419784
2017,Lefors East,SA,TX,Texas,3/7/2017,3/10/2017,"135,000",H,$0,35.4402177,-100.8084048
2017,Diamond Creek,NW,WA,Washington,7/23/2017,10/5/2017,"128,272",U,"$14,760,000",46.2434721,-125.3386842
2017,Central LNU Complex,NO,CA,California,10/9/2017,10/10/2017,"110,720",U,"$102,000,000",37.1930698,-123.7976814
2017,Sartin Draw,NR,MT,Montana,8/30/2017,9/4/2017,"99,735",L,"$1,500,000",45.7228068,-106.0580662
2017,Truckee,GB,NV,Nevada,7/3/2017,7/11/2017,"98,960",U,"$2,120,260",39.3518712,-120.2594755
2017,Tohakum 2,GB,NV,Nevada,8/29/2017,7/11/2017,"94,221",L,"$3,456,000",39.7006964,-119.9651806
2017,Campbell River,AK,AK,Alaska,6/26/2017,10/12/2017,"93,520",L,"$1,056,688",67.2503209,-141.4751250
2017,Oak,NO,CA,California,8/12/2017,9/23/2017,"86,830",L,$0,39.2731024,-121.6819605
2017,Highline,GB,ID,Idaho,7/28/2017,9/21/2017,"84,619",L,"$2,167,864",43.4853896,-111.8845937
2017,Long Valley,GB,CA,California,7/11/2017,7/21/2017,"83,733",U,"$11,953,000",37.7166315,-118.9018120
2017,Modoc July Complex,NO,CA,California,7/24/2017,8/13/2017,"83,120",U,"$35,200,000",41.5902151,-121.2881843
2017,Detwiler,SO,CA,California,7/16/2017,8/7/2017,"81,826",U,"$90,000,000",41.5107246,-125.2173423
2017,White Mountain Creek,AK,AK,Alaska,7/3/2017,10/5/2017,"78,857",L,"$96,310",65.4353694,-152.1941236
2017,Eclipse Complex,NO,CA,California,8/15/2017,10/8/2017,"78,698",U,"$46,006,691",37.1930698,-123.7976814
2017,Brush Flat,NR,MT,Montana,8/31/2017,9/4/2017,"73,797",L,"$400,000",47.0399878,-113.6578983
2017,Brianhead,GB,UT,Utah,6/17/2017,7/24/2017,"71,673",H,"$3,660,000",37.6975757,-112.8554901
2017,Nena Springs,NW,OR,Oregon,8/8/2017,8/29/2017,"68,007",H,"$8,900,000",44.7629759,-121.3795473
2017,Salmon August Complex,NO,CA,California,8/13/2017,10/4/2017,"65,889",U,"$39,805,700",37.1930698,-123.7976814
2017,Dry Gulch,GB,NV,Nevada,7/4/2017,7/11/2017,"64,000",U,"$2,700,000",35.1330075,-114.6303403
2017,Meyers,NR,MT,Montana,7/14/2017,10/13/2017,"62,034",L,"$32,800,000",46.2508608,-107.3572316
2017,Snowstorm,GB,NV,Nevada,7/14/2017,7/15/2017,"60,000",U,"$482,448",41.0254600,-117.1947349
2017,Rankin Ranch Rd.,SA,TX,Texas,3/23/2017,3/25/2017,"60,000",H,$0,31.2257051,-101.9481567
2017,Powerline,GB,ID,Idaho,8/4/2017,8/13/2017,"55,529",U,"$4,512,207",45.4141789,-118.6314446
2017,Nowitna,AK,AK,Alaska,7/14/2017,8/31/2017,"55,254",L,"$307,802",64.3623400,-155.0662485
2017,Legion Lake,RM,SD,South Dakota,12/11/2017,12/19/2017,"54,023",H,"$2,200,000",43.7604690,-103.4639765
2017,Lolo Peak,NR,MT,Montana,7/15/2017,10/6/2017,"53,902",L,"$48,500,000",46.6746730,-114.2620652
2017,Cinder Butte,NW,OR,Oregon,8/2/2017,8/16/2017,"52,531",H,"$4,400,000",44.3138694,-121.1719371
2017,Norse Peak,NW,WA,Washington,8/11/2017,10/5/2017,"52,056",U,"$19,760,000",47.0137271,-121.3897786
2017,Southern LNU Complex,NO,CA,California,10/9/2017,10/27/2017,"51,624",U,"$48,509,895",37.1930698,-123.7976814
