Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2016,,CO,Colorado,,,"109,363",,,,,,
2017,,CO,Colorado,,,"109,489",,,,,,
2019,,CO,Colorado,,,"109,552",,,,,,
2005,,SD,South Dakota,,,"46,341",,,,,,
2005,,FL,Florida,,,"95,677",,,,,,
2008,,FL,Florida,,,"89,139",,,,,,
2009,,FL,Florida,,,"85,869",,,,,,
2006,,SD,South Dakota,,,"46,341",,,,,,
2007,,SD,South Dakota,,,"44,990",,,,,,
2007,Skyland,MT,Montana,7/23/2007,10/1/2007,"45,760",L,"$17,885,000",,,,
2010,,FL,Florida,,,"84,235",,,,,,
2009,Dry Creek Complex,WA,Washington,8/20/2009,8/24/2009,"48,902",L,"$870,000",,,,
2008,BTU Lightning Complex,CA,California,6/21/2008,10/22/2008,"64,995",L,"$94,825,683",,,,
2006,South Fork Complex,ID,Idaho,8/8/2006,11/30/2006,"52,690",L,$0,,,,
2008,Ukonom-South Complex,CA,California,6/20/2008,11/5/2008,"58,871",L,$0,,,,
2012,,FL,Florida,,,"83,417",,,,,,
2005,Edge Complex,AZ,Arizona,7/15/2005,7/30/2005,"71,635",L,$0,,,,
2005,Tank Complex,AZ,Arizona,7/19/2005,7/27/2005,"69,934",L,$0,,,,
2009,Crazy Mountain Complex,AK,Alaska,6/20/2009,8/19/2009,"447,420",L,$0,,,,
2007,Meriwether,MT,Montana,7/21/2007,10/24/2007,"43,296",L,"$9,500,000",,,,
2009,Minto Flats South,AK,Alaska,6/21/2009,7/21/2009,"517,078",L,$0,,,,
2006,Rattlesnake Complex,ID,Idaho,8/21/2006,11/21/2006,"43,600",L,"$18,000,000",,,,
2007,Chippy Creek,MT,Montana,7/31/2007,9/8/2007,"99,090",U,"$19,870,000",,,,
2006,Hambly Complex,NV,Nevada,7/23/2006,8/8/2006,"52,000",L,"$1,740,442",,,,
2009,Railbelt Complex,AK,Alaska,6/21/2009,8/20/2009,"636,224",L,$0,,,,
2010,Toklat,AK,Alaska,5/16/2010,6/4/2010,"171,727",L,"$2,109,186",,,,
2006,Oklahoma Fire Response,OK,Oklahoma,1/1/2006,3/23/2006,"117,686",U,"$9,600,000",,,,
2006,Heavens Gate Complex,ID,Idaho,8/21/2006,9/20/2006,"42,300",L,"$6,650,000",,,,
2013,,FL,Florida,,,"83,009",,,,,,
2008,MEU Lightning Complex,CA,California,6/20/2008,12/1/2008,"54,819",L,"$66,000,000",,,,
2006,Basco,NV,Nevada,7/26/2006,8/3/2006,"47,236",L,"$1,872,000",,,,
2010,Turquoise Lake,AK,Alaska,5/18/2010,9/7/2010,"91,885",H,"$317,515",,,,
2006,Gass Complex,NV,Nevada,6/30/2006,7/8/2006,"40,402",L,"$974,000",,,,
2010,Big Mountain,AK,Alaska,6/2/2010,9/2/2010,"83,746",L,$0,,,,
2007,,OK,Oklahoma,,,"79,592",,,,,,
2006,Middle Fork Complex,ID,Idaho,8/9/2006,9/19/2006,"41,978",L,"$2,601,480",,,,
2008,Canyon Complex,CA,California,6/21/2008,11/3/2008,"47,680",L,$0,,,,
2009,La Brea,CA,California,8/8/2009,10/5/2009,"89,489",H,$0,,,,
2005,Goldwater,AZ,Arizona,6/17/2005,6/25/2005,"58,536",H,$0,,,,
2015,,WY,Wyoming,,,"45,561",,"$5,965,687",,,,
2007,,TX,Texas,,,"129,778",,,,,,
2008,Glass Fire,TX,Texas,2/25/2008,3/2/2008,"219,556",H,$0,,,,
2010,Pat Creek,AK,Alaska,6/25/2010,12/30/2010,"72,692",L,"$11,622,393",,,,
2014,,FL,Florida,,,"82,804",,,,,,
2015,,FL,Florida,,,"82,702",,,,,,
2016,,FL,Florida,,,"82,651",,,,,,
2010,Lone Mountain,AK,Alaska,5/29/2010,12/22/2010,"51,996",L,"$10,044",,,,
2010,Bull Creek,AK,Alaska,5/31/2010,6/25/2010,"41,911",L,$0,,,,
2007,Chimney Complex,ID,Idaho,7/13/2007,8/17/2007,"51,000",L,"$7,409,000",,,,
2011,East Volkmar,AK,Alaska,5/26/2011,8/10/2011,"54,217",L,"$6,912,031",,,,
2017,,FL,Florida,,,"82,626",,,,,,
2012,Uvgoon Creek #1,AK,Alaska,7/3/2012,11/6/2012,"49,305",L,"$189,325",,,,
2012,Dry Creek,AK,Alaska,6/23/2012,11/15/2012,"47,154",L,"$15,000",,,,
2009,Station,CA,California,8/26/2009,11/22/2009,"160,577",H,"$95,510,000",,,,
2012,Barker Canyon Complex,WA,Washington,9/8/2012,9/15/2012,"81,155",L,"$2,290,268",,,,
2013,Lime Hills,AK,Alaska,5/31/2013,8/29/2013,"201,808",L,"$2,883,457",,,,
