Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2007,Antelope Complex,NV,Nevada,7/16/2007,7/27/2007,136778.00,L,0.00,,,,
2007,Bugaboo Fire,FL,Florida,5/8/2007,5/11/2007,82600.00,U,0.00,,,,
2007,Ahorn,MT,Montana,7/11/2007,11/30/2007,52505.00,L,16186343.00,,,,
2006,Suzie,NV,Nevada,6/25/2006,7/5/2006,79859.00,L,2750000.00,,,,
2007,Wildhorse Zone,NV,Nevada,7/16/2007,8/27/2007,96370.00,L,0.00,,,,
2006,Ola Complex,ID,Idaho,8/11/2006,8/16/2006,58555.00,L,2500000.00,,,,
2007,Red House Complex,NV,Nevada,7/17/2007,7/28/2007,71340.00,L,0.00,,,,
2007,Tungsten,NV,Nevada,7/6/2007,7/25/2007,61951.00,L,0.00,,,,
2007,,NM,New Mexico,,,,,,,,,
2007,Hepworth Complex,NV,Nevada,7/16/2007,8/2/2007,58427.00,L,0.00,,,,
2008,,AK,Alaska,,,,,,,,,
2008,,AZ,Arizona,,,,,,,,,
2008,Bridger Fire,CO,Colorado,6/8/2008,7/9/2008,45800.00,L,0.00,,,,
2008,Panther,CA,California,7/22/2008,10/8/2008,72344.00,L,0.00,,,,
2008,,FL,Florida,,,,,,,,,
2008,Ukonom-South Complex,CA,California,6/20/2008,11/5/2008,58871.00,L,0.00,,,,
2008,Canyon Complex,CA,California,6/21/2008,11/3/2008,47680.00,L,0.00,,,,
2008,Glass Fire,TX,Texas,2/25/2008,3/2/2008,219556.00,H,0.00,,,,
2008,,GA,Georgia,,,,,,,,,
2008,,OK,Oklahoma,,,,,,,,,
2007,Skyland,MT,Montana,7/23/2007,10/1/2007,45760.00,L,17885000.00,,,,
2008,,ID,Idaho,,,,,,,,,
2009,Dry Creek Complex,WA,Washington,8/20/2009,8/24/2009,48902.00,L,870000.00,,,,
2008,BTU Lightning Complex,CA,California,6/21/2008,10/22/2008,64995.00,L,94825683.00,,,,
2008,Huckabee,TX,Texas,4/30/2008,5/8/2008,98200.00,U,0.00,,,,
2008,Highway 322,TX,Texas,3/14/2008,3/19/2008,67500.00,H,0.00,,,,
2008,Porter,TX,Texas,3/14/2008,3/21/2008,51400.00,NR,0.00,,,,
2008,Hughes Ranch,TX,Texas,6/4/2008,6/9/2008,45241.00,U,0.00,,,,
2008,,OR,Oregon,,,,,,,,,
2008,,SD,South Dakota,,,,,,,,,
2007,Meriwether,MT,Montana,7/21/2007,10/24/2007,43296.00,L,9500000.00,,,,
2008,,UT,Utah,,,,,,,,,
2006,Rattlesnake Complex,ID,Idaho,8/21/2006,11/21/2006,43600.00,L,18000000.00,,,,
2007,Chippy Creek,MT,Montana,7/31/2007,9/8/2007,99090.00,U,19870000.00,,,,
2006,Hambly Complex,NV,Nevada,7/23/2006,8/8/2006,52000.00,L,1740442.00,,,,
2008,,WA,Washington,,,,,,,,,
2010,Toklat,AK,Alaska,5/16/2010,6/4/2010,171727.00,L,2109186.00,,,,
2006,Oklahoma Fire Response,OK,Oklahoma,1/1/2006,3/23/2006,117686.00,U,9600000.00,,,,
2006,Heavens Gate Complex,ID,Idaho,8/21/2006,9/20/2006,42300.00,L,6650000.00,,,,
2009,Bluff Creek,AK,Alaska,7/26/2009,11/10/2009,41756.00,L,0.00,,,,
2008,MEU Lightning Complex,CA,California,6/20/2008,12/1/2008,54819.00,L,66000000.00,,,,
2006,Basco,NV,Nevada,7/26/2006,8/3/2006,47236.00,L,1872000.00,,,,
2010,Turquoise Lake,AK,Alaska,5/18/2010,9/7/2010,91885.00,H,317515.00,,,,
2006,Gass Complex,NV,Nevada,6/30/2006,7/8/2006,40402.00,L,974000.00,,,,
2009,Bear Creek,AK,Alaska,6/17/2009,9/25/2009,50897.00,L,0.00,,,,
2009,Rock Slough,AK,Alaska,6/30/2009,11/10/2009,62313.00,L,0.00,,,,
2006,Middle Fork Complex,ID,Idaho,8/9/2006,9/19/2006,41978.00,L,2601480.00,,,,
